sku_id,platform,category,title,brand,price,original_price,sales,sales_unit,comments,shop_name,data_source,crawl_time
REF0088,拼多多,牛仔裤,工厂直供 阔腿牛仔裤 复古 水洗 做旧,无品牌,65,90,7207,近30天,2359,拼多多示范店铺64,reference,2026-08-19T23:14:43
REF0089,拼多多,牛仔裤,工厂直供 牛仔裤 男 直筒 宽松 大码 百搭,白牌,57,86,9996,近30天,2400,拼多多示范店铺19,reference,2026-08-19T23:14:43
REF0090,拼多多,牛仔裤,自主品牌 锥形牛仔裤 九分 春夏薄款,白牌,47,65,5468,近30天,1431,拼多多示范店铺51,reference,2026-08-19T23:14:43
REF0091,抖音,牛仔裤,白牌 加绒牛仔裤 秋冬 保暖 直筒,白牌,54,80,2300,近30天,1121,抖音示范店铺31,reference,2026-08-19T23:14:43
REF0092,抖音,牛仔裤,白牌 阔腿牛仔裤 复古 水洗 做旧,白牌,49,72,14350,近30天,8595,抖音示范店铺57,reference,2026-08-19T23:14:43
REF0093,抖音,牛仔裤,无品牌 阔腿牛仔裤 复古 水洗 做旧,白牌,102,138,538,近30天,120,抖音示范店铺53,reference,2026-08-19T23:14:43
REF0094,抖音,牛仔裤,无品牌 阔腿牛仔裤 复古 水洗 做旧,白牌,111,141,1172,近30天,314,抖音示范店铺75,reference,2026-08-19T23:14:43
REF0095,抖音,牛仔裤,无品牌 锥形牛仔裤 九分 春夏薄款,白牌,110,164,648,近30天,132,抖音示范店铺45,reference,2026-08-19T23:14:43
REF0096,抖音,牛仔裤,无品牌 牛仔裤 男 直筒 宽松 大码 百搭,白牌,115,173,756,近30天,453,抖音示范店铺46,reference,2026-08-19T23:14:43
REF0097,抖音,牛仔裤,白牌 中老年牛仔裤 宽松直筒 高腰 舒适,工厂直供,49,71,3685,近30天,1571,抖音示范店铺37,reference,2026-08-19T23:14:43
REF0098,抖音,牛仔裤,自主品牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,49,64,4206,近30天,2190,抖音示范店铺93,reference,2026-08-19T23:14:43
REF0099,抖音,牛仔裤,无品牌 锥形牛仔裤 九分 春夏薄款,白牌,94,118,1382,近30天,712,抖音示范店铺38,reference,2026-08-19T23:14:43
REF0100,抖音,牛仔裤,自主品牌 锥形牛仔裤 九分 春夏薄款,自主品牌,49,73,2268,近30天,636,抖音示范店铺62,reference,2026-08-19T23:14:43
REF0101,抖音,牛仔裤,工厂直供 中老年牛仔裤 宽松直筒 高腰 舒适,自主品牌,114,150,792,近30天,397,抖音示范店铺12,reference,2026-08-19T23:14:43
REF0102,抖音,牛仔裤,工厂直供 加绒牛仔裤 秋冬 保暖 直筒,自主品牌,84,122,1587,近30天,745,抖音示范店铺14,reference,2026-08-19T23:14:43
REF0103,抖音,牛仔裤,自主品牌 阔腿牛仔裤 复古 水洗 做旧,白牌,74,107,1200,近30天,551,抖音示范店铺15,reference,2026-08-19T23:14:43
REF0104,抖音,牛仔裤,工厂直供 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,59,89,1707,近30天,408,抖音示范店铺86,reference,2026-08-19T23:14:43
REF0105,抖音,牛仔裤,白牌 中老年牛仔裤 宽松直筒 高腰 舒适,工厂直供,133,202,613,近30天,301,抖音示范店铺36,reference,2026-08-19T23:14:43
REF0106,微信视频号,牛仔裤,白牌 锥形牛仔裤 九分 春夏薄款,自主品牌,102,157,581,近30天,219,微信视频号示范店铺70,reference,2026-08-19T23:14:43
REF0107,微信视频号,牛仔裤,白牌 阔腿牛仔裤 复古 水洗 做旧,白牌,160,246,237,近30天,139,微信视频号示范店铺83,reference,2026-08-19T23:14:43
REF0108,微信视频号,牛仔裤,白牌 牛仔裤 女 高腰 小脚 显瘦 弹力,无品牌,90,134,766,近30天,456,微信视频号示范店铺76,reference,2026-08-19T23:14:43
REF0109,微信视频号,牛仔裤,无品牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,134,168,550,近30天,308,微信视频号示范店铺23,reference,2026-08-19T23:14:43
REF0110,微信视频号,牛仔裤,无品牌 牛仔裤 男 直筒 宽松 大码 百搭,白牌,188,268,149,近30天,77,微信视频号示范店铺17,reference,2026-08-19T23:14:43
REF0111,微信视频号,牛仔裤,工厂直供 牛仔裤 男 直筒 宽松 大码 百搭,白牌,117,164,1398,近30天,715,微信视频号示范店铺79,reference,2026-08-19T23:14:43
REF0112,微信视频号,牛仔裤,工厂直供 牛仔裤 男 直筒 宽松 大码 百搭,工厂直供,76,117,3818,近30天,1463,微信视频号示范店铺88,reference,2026-08-19T23:14:43
REF0113,微信视频号,牛仔裤,自主品牌 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,162,210,239,近30天,79,微信视频号示范店铺75,reference,2026-08-19T23:14:43
REF0114,微信视频号,牛仔裤,工厂直供 阔腿牛仔裤 复古 水洗 做旧,白牌,154,217,500,近30天,299,微信视频号示范店铺90,reference,2026-08-19T23:14:43
REF0115,微信视频号,牛仔裤,工厂直供 牛仔裤 女 高腰 小脚 显瘦 弹力,白牌,157,217,981,近30天,536,微信视频号示范店铺59,reference,2026-08-19T23:14:43
REF0116,微信视频号,牛仔裤,自主品牌 锥形牛仔裤 九分 春夏薄款,工厂直供,153,206,334,近30天,109,微信视频号示范店铺9,reference,2026-08-19T23:14:43
REF0117,微信视频号,牛仔裤,自主品牌 牛仔裤 男 直筒 宽松 大码 百搭,白牌,131,169,546,近30天,191,微信视频号示范店铺53,reference,2026-08-19T23:14:43
REF0118,微信视频号,牛仔裤,白牌 中老年牛仔裤 宽松直筒 高腰 舒适,自主品牌,127,192,498,近30天,249,微信视频号示范店铺46,reference,2026-08-19T23:14:43
REF0119,微信视频号,牛仔裤,自主品牌 加绒牛仔裤 秋冬 保暖 直筒,白牌,152,206,258,近30天,139,微信视频号示范店铺36,reference,2026-08-19T23:14:43
REF0120,微信视频号,牛仔裤,白牌 加绒牛仔裤 秋冬 保暖 直筒,白牌,144,222,802,近30天,432,微信视频号示范店铺85,reference,2026-08-19T23:14:43
